country,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GNP.PCAP.CD,IT.NET.USER.ZS,SH.IMM.IDPT,SH.STA.MMRT,SH.XPD.CHEX.GD.ZS,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,IT.NET.SECR.P6,SP.URB.TOTL.IN.ZS,SL.EMP.VULN.ZS,SP.POP.DPND,SP.POP.GROW,EN.ATM.PM25.MC.M3,EN.GHG.ALL.PC.CE.AR5
Cuba,1.1856590577975652,24.497265486032,9.570110520822217,69.55580139,99,3.5553480614894135,9.38383102,1.8718021769015913,78.085,1.439,5.131846839045136,77.1259872296321,19.4115163087813,46.4332711231648,-0.361317873522215,2.2458047529766287,1.1584927391027584
Cyprus,1.074690273686363,11.3336799309353,10.385296227231626,91.22110357,95,2.6390573296152584,8.11912918,1.33500106673234,81.648,1.389,13.230633314526838,66.6739477522639,8.89235893368108,43.6311017609808,1.0167681770201,2.7769019740531182,1.9127550202143582
Czechia,1.4632905228034485,30.0237282227463,10.259061891030827,85.99404818,90,1.0986122886681098,8.42677402,0.7419373447293773,79.8268292682927,1.46,11.291680461909273,72.7352388396817,14.0228953824832,56.7878159701296,1.78238907045946,2.545433949882642,2.304357079306838
Germany,0.9639277270917577,26.7958505063624,10.922695818416969,92.4763763,89,1.3862943611198906,11.74428654,1.1314021114911006,81.0414634146342,1.39,11.84920341362728,81.9034366692129,4.44476279613189,57.9918953896649,0.131511079477747,2.176140593407939,2.1080837921334465
Djibouti,1.5817782248538257,14.432376023443,8.160518247477505,64.75869751,72,5.087596335232384,2.28316021,3.7932394694381792,65.987,2.609,4.148140769991543,72.8408245988921,30.4283542180045,52.2310906894298,1.38410272350128,3.6962876756180916,0.7283050145338511
Dominica,3.4799025427849846,12.7501207770175,9.2093398716426,81.33650208,56,3.58351893845611,5.00757647,3.4995332823830174,71.132,1.484,11.105202509887977,73.1105011438027,35.072656923975,44.6215399334624,-0.473991407609536,2.4437873953578264,0.8086053922488139
Denmark,1.018759328675409,23.6155835404278,11.185531892282219,98.77559197,97,1.3862943611198906,9.5572958,1.2237754316221157,81.7536585365854,1.5,12.47328057601149,88.552638542867,5.69211349548988,57.3988511670291,0.741185515720057,2.0152558956115136,1.879299819538441
Dominican Republic,2.072257956912037,29.3086832346831,9.179881164491475,86.12689972,90,4.820281565605037,4.59880495,3.3463891451671604,73.72,2.243,5.377501324965589,72.3577991823338,38.3000462029361,52.6597760530361,0.891159203732232,2.603634741305924,1.4804854086628199
Algeria,3.6563978234712917,37.5476547378243,8.507142855562735,76.19760132,92,4.127134385045092,4.35082531,2.9806186357439426,76.261,2.766,4.608107129577048,74.732808364138,25.9252191073665,58.7709984775404,1.49897601193923,2.805749568643645,1.7243874952213003
Ecuador,2.837494437731736,27.7143991387368,8.790269111478656,72.6943146,70,4.007333185232471,7.56167889,2.4069451083182885,77.392,1.823,6.1639539709308835,63.1307729554263,48.6267465931014,49.4714073657307,0.872456027022398,2.923615665230145,1.403928043450009
"Egypt, Arab Rep.",3.2558119055780232,32.7344752545444,8.253227645581772,74.01190186,96,2.833213344056216,4.88449335,3.0587070727153796,71.633,2.75,3.975976193129257,42.7098115041919,24.299665921968305,59.7566710357047,1.68834126904494,3.7645909959287374,1.1718755382875727
Spain,1.6143802390892301,19.9575232630573,10.40365659611359,95.44564516,93,1.0986122886681098,9.2206583,0.9555114450274363,83.9341463414634,1.12,10.265830223166002,80.128491001856,10.4141698214737,51.3142228402432,1.17836618688432,2.3106359852095233,1.7804935644641222
Estonia,1.3098019923605437,21.3455594501819,10.22738100695048,93.18342241,84,1.6094379124341003,7.47082138,0.47000362924573563,78.7926829268293,1.31,11.628252308591856,70.6770085523126,7.00020973986588,58.4343478723355,1.57745133607335,1.7780738500491895,2.3919835091205077
Ethiopia,5.982180270195592,24.4836822236256,6.937314081223682,20.33749962,70,5.272999558563747,2.80310345,3.655839600035736,67.315,3.989,2.8603766517197013,23.0586471557617,84.7805284836266,74.0248657156642,2.6036241976442,3.1698234721119807,0.38139671029722716
Finland,1.5267916809858277,23.47832457281,10.875591349229495,93.51385075,91,2.0794415416798357,10.47389507,0.6418538861723947,81.5853658536585,1.26,11.943853609221122,74.0062548602828,9.76066176622248,62.6357187918865,0.499192375381062,1.5187774476707545,2.189610397946069
Fiji,3.5811438138283,17.2796027005972,8.642944396721798,74.1160965,97,3.4011973816621555,3.61524153,3.1570004211501135,67.316,2.281,5.4354725679172,58.6069049738768,33.4217455543969,50.894119644834,0.51237740019889,1.8638818111846804,1.0530307527281932
France,1.2185064476826704,18.1109847493837,10.731384133647687,86.83635789,96,1.9459101490553132,11.51974583,1.2237754316221157,82.8317073170732,1.66,10.859344930361276,78.7804323126547,8.08089252177034,62.6913599952639,0.275093143443794,2.1074683770025313,1.7430822318668047
"Micronesia, Fed. Sts.",4.830326345148938,5.04131604539844,8.35936910622267,39.39889908,79,4.859812404361672,12.88087559,3.039749158970765,67.198,2.748,5.074018926818696,22.4334012451903,57.9761151896762,60.9275875864434,0.459189928699194,1.2575097842558747,-0.6364525359883008
Gabon,2.5825231141622877,53.869796194007,8.943767262734637,68.19789886,70,5.4510384535657,3.13430715,3.292126286607793,68.337,3.647,3.762641087975066,91.6375962797313,29.9180194867911,68.6454953915487,2.19891289669511,3.444307694322892,2.1603411905899508
United Kingdom,0.8050967952288327,17.6714033030008,10.795485591841238,95.44719696,92,2.0794415416798357,10.99128914,1.410986973710262,81.2380975609756,1.56,10.76491979328927,83.1601932891335,11.8606529577705,57.8463970694922,1.30728496203423,2.247371483997203,1.7657739020823673
